"party","city","cityName","ctr","ctrName","pop"
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Bolzano","Bolzano","http://dbpedia.org/resource/Italy","Italy",107436
"http://dbpedia.org/resource/The_People_of_Freedom","http://dbpedia.org/resource/Bovolone","Bovolone","http://dbpedia.org/resource/Italy","Italy",16573
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Brescia","Brescia","http://dbpedia.org/resource/Italy","Italy",200423
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Desenzano_del_Garda","Desenzano del Garda","http://dbpedia.org/resource/Italy","Italy",28856
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Pavia","Pavia","http://dbpedia.org/resource/Italy","Italy",73086
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Pertica_Alta","Pertica Alta","http://dbpedia.org/resource/Italy","Italy",595
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Perugia","Perugia","http://dbpedia.org/resource/Italy","Italy",168066
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Pesaro","Pesaro","http://dbpedia.org/resource/Italy","Italy",95000
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Pescara","Pescara","http://dbpedia.org/resource/Italy","Italy",119554
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Pfalzen","Pfalzen","http://dbpedia.org/resource/Italy","Italy",3
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Pfitsch","Pfitsch","http://dbpedia.org/resource/Italy","Italy",3
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Reggio_Calabria","Reggio Calabria","http://dbpedia.org/resource/Italy","Italy",182455
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Reggio_Emilia","Reggio Emilia","http://dbpedia.org/resource/Italy","Italy",171944
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Rezzato","Rezzato","http://dbpedia.org/resource/Italy","Italy",13543
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Rho,_Lombardy","Rho, Lombardy","http://dbpedia.org/resource/Italy","Italy",50558
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Riccione","Riccione","http://dbpedia.org/resource/Italy","Italy",34659
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Riesi","Riesi","http://dbpedia.org/resource/Italy","Italy",11678
"http://dbpedia.org/resource/Fratelli_d’Italia","http://dbpedia.org/resource/Rieti","Rieti","http://dbpedia.org/resource/Italy","Italy",47745
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Riffian,_South_Tyrol","Riffian, South Tyrol","http://dbpedia.org/resource/Italy","Italy",1306
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Rimini","Rimini","http://dbpedia.org/resource/Italy","Italy",148688
"http://dbpedia.org/resource/Lista_civica","http://dbpedia.org/resource/Ripalta_Arpina","Ripalta Arpina","http://dbpedia.org/resource/Italy","Italy",997
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Riva_del_Garda","Riva del Garda","http://dbpedia.org/resource/Italy","Italy",17331
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Rivalta_di_Torino","Rivalta di Torino","http://dbpedia.org/resource/Italy","Italy",19422
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Udine","Udine","http://dbpedia.org/resource/Italy","Italy",100170
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Ulten","Ulten","http://dbpedia.org/resource/Italy","Italy",2934
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Unsere_Liebe_Frau_im_Walde-St._Felix","Unsere Liebe Frau im Walde-St. Felix","http://dbpedia.org/resource/Italy","Italy",786
"http://dbpedia.org/resource/Partito_Democratico","http://dbpedia.org/resource/Valmontone","Valmontone","http://dbpedia.org/resource/Italy","Italy",15219
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Varese","Varese","http://dbpedia.org/resource/Italy","Italy",80588
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Venaria_Reale","Venaria Reale","http://dbpedia.org/resource/Italy","Italy",34838
"http://dbpedia.org/resource/Courage_Italy","http://dbpedia.org/resource/Venice","Venice","http://dbpedia.org/resource/Italy","Italy",258685
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Ventimiglia","Ventimiglia","http://dbpedia.org/resource/Italy","Italy",24120
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/Ventotene","Ventotene","http://dbpedia.org/resource/Italy","Italy",768
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Verbania","Verbania","http://dbpedia.org/resource/Italy","Italy",30104
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Vercelli","Vercelli","http://dbpedia.org/resource/Italy","Italy",45875
"http://dbpedia.org/resource/FDP.The_Liberals","http://dbpedia.org/resource/Brig-Glis","Brig-Glis","http://dbpedia.org/resource/Switzerland","Switzerland",2002
"http://dbpedia.org/resource/FDP.The_Liberals","http://dbpedia.org/resource/Brig-Glis","Brig-Glis","http://dbpedia.org/resource/Switzerland","Switzerland",11882
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Rheinfelden_(Aargau)","Rheinfelden (Aargau)","http://dbpedia.org/resource/Switzerland","Switzerland",2007
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Rheinfelden_(Aargau)","Rheinfelden (Aargau)","http://dbpedia.org/resource/Switzerland","Switzerland",10881
"http://dbpedia.org/resource/Christian_Democratic_People's_Party_of_Switzerland","http://dbpedia.org/resource/Riva_San_Vitale","Riva San Vitale","http://dbpedia.org/resource/Switzerland","Switzerland",2004
"http://dbpedia.org/resource/Christian_Democratic_People's_Party_of_Switzerland","http://dbpedia.org/resource/Riva_San_Vitale","Riva San Vitale","http://dbpedia.org/resource/Switzerland","Switzerland",2410
"http://dbpedia.org/resource/FDP.The_Liberals","http://dbpedia.org/resource/Bolligen","Bolligen","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Swiss_People's_Party","http://dbpedia.org/resource/Horgen","Horgen","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Christian_Social_Party_(Switzerland)","http://dbpedia.org/resource/Schmitten,_Fribourg","Schmitten, Fribourg","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Social_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Uster","Uster","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/FDP.The_Liberals","http://dbpedia.org/resource/Davos","Davos","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Partito_Democratico","http://dbpedia.org/resource/Vernio","Vernio","http://dbpedia.org/resource/Italy","Italy",6054
"http://dbpedia.org/resource/Independent_(politician)","http://dbpedia.org/resource/Verona","Verona","http://dbpedia.org/resource/Italy","Italy",258031
"http://dbpedia.org/resource/Centre-right","http://dbpedia.org/resource/Vicenza","Vicenza","http://dbpedia.org/resource/Italy","Italy",111980
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Vigevano","Vigevano","http://dbpedia.org/resource/Italy","Italy",63459
"http://dbpedia.org/resource/Civic_List_(Italy)","http://dbpedia.org/resource/Vigonza","Vigonza","http://dbpedia.org/resource/Italy","Italy",20421
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Villorba","Villorba","http://dbpedia.org/resource/Italy","Italy",18056
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Cordenons","Cordenons","http://dbpedia.org/resource/Italy","Italy",18433
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Cori,_Lazio","Cori, Lazio","http://dbpedia.org/resource/Italy","Italy",10978
"http://dbpedia.org/resource/Federation_of_the_Greens","http://dbpedia.org/resource/Corigliano-Rossano","Corigliano-Rossano","http://dbpedia.org/resource/Italy","Italy",77220
"http://dbpedia.org/resource/Independent_politician","http://dbpedia.org/resource/Corigliano-Rossano","Corigliano-Rossano","http://dbpedia.org/resource/Italy","Italy",77220
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Cornate_d'Adda","Cornate d'Adda","http://dbpedia.org/resource/Italy","Italy",10710
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Corsico","Corsico","http://dbpedia.org/resource/Italy","Italy",34189
"http://dbpedia.org/resource/Civic_List_(Italy)","http://dbpedia.org/resource/Corte_de'_Frati","Corte de' Frati","http://dbpedia.org/resource/Italy","Italy",1359
"http://dbpedia.org/resource/Independent_politician","http://dbpedia.org/resource/Courmayeur","Courmayeur","http://dbpedia.org/resource/Italy","Italy",2870
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Crema,_Lombardy","Crema, Lombardy","http://dbpedia.org/resource/Italy","Italy",34264
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Cremona","Cremona","http://dbpedia.org/resource/Italy","Italy",71223
"http://dbpedia.org/resource/Civic_List_(Italy)","http://dbpedia.org/resource/Crotone","Crotone","http://dbpedia.org/resource/Italy","Italy",64603
"http://dbpedia.org/resource/Five_Star_Movement","http://dbpedia.org/resource/Matera","Matera","http://dbpedia.org/resource/Italy","Italy",60403
"http://dbpedia.org/resource/Partito_Democratico)","http://dbpedia.org/resource/Melegnano","Melegnano","http://dbpedia.org/resource/Italy","Italy",18101
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Ruvo_di_Puglia","Ruvo di Puglia","http://dbpedia.org/resource/Italy","Italy",25341
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/Sabaudia","Sabaudia","http://dbpedia.org/resource/Italy","Italy",20613
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Salerno","Salerno","http://dbpedia.org/resource/Italy","Italy",133199
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Salorno","Salorno","http://dbpedia.org/resource/Italy","Italy",3802
"http://dbpedia.org/resource/Partito_Democratico","http://dbpedia.org/resource/Salsomaggiore_Terme","Salsomaggiore Terme","http://dbpedia.org/resource/Italy","Italy",20051
"http://dbpedia.org/resource/Brothers_of_Italy","http://dbpedia.org/resource/Città_Sant'Angelo","Città Sant'Angelo","http://dbpedia.org/resource/Italy","Italy",14786
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Città_di_Castello","Città di Castello","http://dbpedia.org/resource/Italy","Italy",39286
"http://dbpedia.org/resource/Movimento_Cinque_Stelle","http://dbpedia.org/resource/Civitavecchia","Civitavecchia","http://dbpedia.org/resource/Italy","Italy",53027
"http://dbpedia.org/resource/Partito_Autonomista_Trentino_Tirolese","http://dbpedia.org/resource/Cles","Cles","http://dbpedia.org/resource/Italy","Italy",7009
"http://dbpedia.org/resource/Left_(political_attitude)","http://dbpedia.org/resource/Frascati","Frascati","http://dbpedia.org/resource/Italy","Italy",22680
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Frattamaggiore","Frattamaggiore","http://dbpedia.org/resource/Italy","Italy",29929
"http://dbpedia.org/resource/Forza_Italia","http://dbpedia.org/resource/Frosinone","Frosinone","http://dbpedia.org/resource/Italy","Italy",44087
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Gais,_South_Tyrol","Gais, South Tyrol","http://dbpedia.org/resource/Italy","Italy",3162
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Garbagnate_Milanese","Garbagnate Milanese","http://dbpedia.org/resource/Italy","Italy",27226
"http://dbpedia.org/resource/Civic_List_(Italy)","http://dbpedia.org/resource/Gazzo,_Veneto","Gazzo, Veneto","http://dbpedia.org/resource/Italy","Italy",4302
"http://dbpedia.org/resource/Civic_List_(Italy)","http://dbpedia.org/resource/Gela","Gela","http://dbpedia.org/resource/Italy","Italy",75001
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Genzano_di_Roma","Genzano di Roma","http://dbpedia.org/resource/Italy","Italy",24072
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Gorizia","Gorizia","http://dbpedia.org/resource/Italy","Italy",34428
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Gravina_in_Puglia","Gravina in Puglia","http://dbpedia.org/resource/Italy","Italy",43775
"http://dbpedia.org/resource/Centre-left_coalition_(Italy)","http://dbpedia.org/resource/Minori,_Campania","Minori, Campania","http://dbpedia.org/resource/Italy","Italy",2687
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Mirano","Mirano","http://dbpedia.org/resource/Italy","Italy",27083
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Modena","Modena","http://dbpedia.org/resource/Italy","Italy",184732
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Moncalieri","Moncalieri","http://dbpedia.org/resource/Italy","Italy",56134
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Moniga_del_Garda","Moniga del Garda","http://dbpedia.org/resource/Italy","Italy",2556
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Monopoli","Monopoli","http://dbpedia.org/resource/Italy","Italy",49246
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Monselice","Monselice","http://dbpedia.org/resource/Italy","Italy",18682
"http://dbpedia.org/resource/Green_Party_of_Switzerland","http://dbpedia.org/resource/Vevey","Vevey","http://dbpedia.org/resource/Switzerland","Switzerland",2007
"http://dbpedia.org/resource/Green_Party_of_Switzerland","http://dbpedia.org/resource/Vevey","Vevey","http://dbpedia.org/resource/Switzerland","Switzerland",17287
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Frauenfeld","Frauenfeld","http://dbpedia.org/resource/Switzerland","Switzerland",2007
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Frauenfeld","Frauenfeld","http://dbpedia.org/resource/Switzerland","Switzerland",22313
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Gais","Gais","http://dbpedia.org/resource/Switzerland","Switzerland",2014
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Gais","Gais","http://dbpedia.org/resource/Switzerland","Switzerland",3089
"http://dbpedia.org/resource/Freisinnig-Demokratische_Partei","http://dbpedia.org/resource/Embrach","Embrach","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","http://dbpedia.org/resource/Ennetbaden","Ennetbaden","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Swiss_People's_Party","http://dbpedia.org/resource/Eglisau","Eglisau","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Christian_Democratic_People's_Party_of_Switzerland","http://dbpedia.org/resource/Engelberg","Engelberg","http://dbpedia.org/resource/Switzerland","Switzerland",
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Montalcino","Montalcino","http://dbpedia.org/resource/Italy","Italy",5920
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Monte_Compatri","Monte Compatri","http://dbpedia.org/resource/Italy","Italy",12144
"http://dbpedia.org/resource/Union_of_Christian_and_Centre_Democrats","http://dbpedia.org/resource/Montebello_Vicentino","Montebello Vicentino","http://dbpedia.org/resource/Italy","Italy",6544
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Montebelluna","Montebelluna","http://dbpedia.org/resource/Italy","Italy",32000
"http://dbpedia.org/resource/Centre_(politics)","http://dbpedia.org/resource/Montefalcione","Montefalcione","http://dbpedia.org/resource/Italy","Italy",3461
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Montepulciano","Montepulciano","http://dbpedia.org/resource/Italy","Italy",13984
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Monteriggioni","Monteriggioni","http://dbpedia.org/resource/Italy","Italy",10099
"http://dbpedia.org/resource/Lega_(political_party)","http://dbpedia.org/resource/Montesilvano","Montesilvano","http://dbpedia.org/resource/Italy","Italy",53738
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Monza","Monza","http://dbpedia.org/resource/Italy","Italy",124398
